id,site,directory,model,forcing,parameters
ca5223b3cbca496bbf255954682760c5,aksaut_2900,gt_aksaut_2900_merra2_e24a49c,geotop,scaled_merra2_Aksaut_3alt,basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/aspect_22.5.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/slope_55.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/snow_0.8.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/pointmaxswe_2000.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/soil_rock.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/loc/loc_aksaut_2900.inpts
6ef28a09972646558e1b898a7823fd29,aksaut_2900,gt_aksaut_2900_merra2_cbcc13e,geotop,scaled_merra2_Aksaut_3alt,basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/aspect_22.5.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/slope_55.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/snow_1.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/pointmaxswe_2000.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/soil_rock.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/loc/loc_aksaut_2900.inpts
6ed49c931f87410596c1ec61874ae3b4,aksaut_2900,gt_aksaut_2900_merra2_bb6d8de,geotop,scaled_merra2_Aksaut_3alt,basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/aspect_22.5.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/slope_55.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/snow_1.2.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/pointmaxswe_2000.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/soil_rock.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/loc/loc_aksaut_2900.inpts
73a2c9b899944740bf4c470cc4b10250,aksaut_2900,gt_aksaut_2900_merra2_bdd8de0,geotop,scaled_merra2_Aksaut_3alt,basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/aspect_22.5.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/slope_60.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/snow_0.8.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/pointmaxswe_2000.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/soil_rock.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/loc/loc_aksaut_2900.inpts
ee07d5b2499748048abea475ddf3e137,aksaut_2900,gt_aksaut_2900_merra2_be83d94,geotop,scaled_merra2_Aksaut_3alt,basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/aspect_22.5.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/slope_60.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/snow_1.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/pointmaxswe_2000.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/soil_rock.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/loc/loc_aksaut_2900.inpts
21b75699b27841f7aeb04aa7c338df2d,aksaut_2900,gt_aksaut_2900_merra2_d8bde03,geotop,scaled_merra2_Aksaut_3alt,basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/aspect_22.5.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/slope_60.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/snow_1.2.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/pointmaxswe_2000.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/soil_rock.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/loc/loc_aksaut_2900.inpts
1fc9633d5ecb4c63af076c9a2a4e4a9b,aksaut_2900,gt_aksaut_2900_merra2_fbea492,geotop,scaled_merra2_Aksaut_3alt,basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/aspect_22.5.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/slope_65.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/snow_0.8.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/pointmaxswe_2000.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/soil_rock.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/loc/loc_aksaut_2900.inpts
1bfcd72de2824c0aba2364443db5064a,aksaut_2900,gt_aksaut_2900_merra2_c8e4769,geotop,scaled_merra2_Aksaut_3alt,basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/aspect_22.5.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/slope_65.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/snow_1.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/pointmaxswe_2000.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/soil_rock.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/loc/loc_aksaut_2900.inpts
e91beca31e7945d58b913547bc336059,aksaut_2900,gt_aksaut_2900_merra2_2035ee1,geotop,scaled_merra2_Aksaut_3alt,basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/aspect_22.5.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/slope_65.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/snow_1.2.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/pointmaxswe_2000.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/soil_rock.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/loc/loc_aksaut_2900.inpts
b2fc8103968443789567f44276bbd646,aksaut_2900,gt_aksaut_2900_merra2_7c509de,geotop,scaled_merra2_Aksaut_3alt,basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/aspect_22.5.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/slope_70.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/snow_0.8.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/pointmaxswe_2000.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/soil_rock.inpts;basicgeotop:/scratch/s/stgruber/vpo001/gtpem_runs/Caucasus/Aksaut/parameter/loc/loc_aksaut_2900.inpts
