azi,hang
0,7.91
1,8.37
2,8.91
3,9.1
4,9.04
5,8.58
6,7.97
7,7.47
8,6.83
9,6.44
10,6.22
11,5.05
12,4.57
13,3.01
14,2.43
15,1.72
16,1.03
17,0.26
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0.11
54,0.59
55,0.83
56,0.46
57,0
58,0
59,0
60,0
61,0
62,0
63,0.34
64,0.82
65,1.48
66,2.14
67,3
68,3.77
69,4.12
70,3.97
71,4.56
72,5.07
73,5.44
74,5.59
75,5.97
76,6.16
77,6.06
78,6.05
79,6.25
80,6.79
81,7.39
82,7.93
83,8.94
84,9.75
85,10.42
86,10.84
87,11.02
88,11.08
89,12.01
90,12.8
91,13.54
92,14.46
93,15.37
94,16.2
95,16.87
96,17.02
97,17.19
98,17.1
99,16.96
100,16.78
101,16.64
102,16.45
103,16.22
104,16
105,15.69
106,15.47
107,14.58
108,14.07
109,13.77
110,13.54
111,13.42
112,13.23
113,12.74
114,12.48
115,12.32
116,12.45
117,12.54
118,12.54
119,12.5
120,12.19
121,12.05
122,11.76
123,11.29
124,10.56
125,9.97
126,9.37
127,8.58
128,7.73
129,7.27
130,6.79
131,6.12
132,6.03
133,5.87
134,6.2
135,7.64
136,9.17
137,9.88
138,10.31
139,10.72
140,12.35
141,14.88
142,17.35
143,19.06
144,20.45
145,21.64
146,22.86
147,24.14
148,25.41
149,26.46
150,27.76
151,29.12
152,30.44
153,31.3
154,32.19
155,33.29
156,34.2
157,35.21
158,35.93
159,36.56
160,37.21
161,37.82
162,38.65
163,39.57
164,40.15
165,40.46
166,40.98
167,41.42
168,41.86
169,42.42
170,42.88
171,43.27
172,43.8
173,44.34
174,44.84
175,45.11
176,45.26
177,45.58
178,46.02
179,46.44
180,46.84
181,47.41
182,47.82
183,48.18
184,48.54
185,48.97
186,49.39
187,49.75
188,50.1
189,50.45
190,50.81
191,51.09
192,51.34
193,51.6
194,51.91
195,52.23
196,52.55
197,52.88
198,53.24
199,53.64
200,54.06
201,54.45
202,54.44
203,54.43
204,54.46
205,54.52
206,54.63
207,54.7
208,54.74
209,54.78
210,54.83
211,54.89
212,54.87
213,54.78
214,54.71
215,54.71
216,54.68
217,54.7
218,54.69
219,54.61
220,54.54
221,54.48
222,54.44
223,54.42
224,54.45
225,54.41
226,54.43
227,54.47
228,54.51
229,54.57
230,54.52
231,54.5
232,54.49
233,54.47
234,54.31
235,54.27
236,54.23
237,54.3
238,54.44
239,54.59
240,54.51
241,54.4
242,54.33
243,54.3
244,54.3
245,54.34
246,54.42
247,54.53
248,54.67
249,54.84
250,54.96
251,55.01
252,54.99
253,54.98
254,54.98
255,54.92
256,54.83
257,54.77
258,54.73
259,54.71
260,54.65
261,54.55
262,54.45
263,54.34
264,54.22
265,54.19
266,54.17
267,54.14
268,54.09
269,54.03
270,53.95
271,53.87
272,53.78
273,53.69
274,53.54
275,53.37
276,53.19
277,52.99
278,52.77
279,52.48
280,52.19
281,51.89
282,51.58
283,51.22
284,50.84
285,50.46
286,50.07
287,49.66
288,49.14
289,48.57
290,47.91
291,47.26
292,46.61
293,45.99
294,45.38
295,44.97
296,44.61
297,44.21
298,43.8
299,43.37
300,42.93
301,42.47
302,42
303,41.38
304,40.71
305,40.09
306,39.41
307,38.66
308,37.86
309,36.99
310,35.82
311,34.3
312,32.7
313,31.01
314,29.2
315,27.55
316,25.38
317,23.11
318,20.72
319,18.27
320,15.8
321,13.31
322,10.86
323,10.06
324,9.53
325,9.1
326,8.95
327,9.06
328,8.53
329,7.86
330,7.69
331,8.05
332,8.45
333,9
334,9.11
335,8.75
336,8.69
337,8.55
338,8.79
339,8.86
340,8.61
341,8.31
342,8.01
343,7.66
344,7.66
345,7.75
346,7.97
347,7.9
348,7.83
349,7.99
350,8.24
351,8.13
352,7.94
353,7.98
354,8.03
355,7.87
356,7.67
357,7.54
358,7.57
359,7.67
0,7.91
